result,odds_home,odds_draw,odds_away,home_wins,home_draws,home_losses,home_goals,home_opposition_goals,home_shots,home_shots_on_target,home_opposition_shots,home_opposition_shots_on_target,away_wins,away_draws,away_losses,away_goals,away_opposition_goals,away_shots,away_shots_on_target,away_opposition_shots,away_opposition_shots_on_target
1,1.91,3.4,4.0,5,2,3,10,8,110,40,130,33,5,2,3,11,9,102,34,139,39
1,1.44,4.2,7.5,4,1,5,14,14,172,56,111,42,3,3,4,9,12,116,45,125,38
1,1.29,5.25,11.0,7,3,0,16,6,164,58,99,30,0,6,4,8,14,124,31,111,41
1,1.44,4.2,7.5,4,5,1,14,7,130,52,141,41,3,2,5,10,12,91,25,118,36
2,2.9,3.1,2.5,1,1,8,6,21,84,21,157,63,3,2,5,9,15,94,27,135,44
1,1.5,4.33,6.0,3,3,4,16,20,158,50,110,48,2,3,5,11,13,128,36,131,55
0,2.2,3.2,3.4,4,1,5,13,14,90,30,122,40,5,3,2,19,15,115,43,143,51
1,2.4,3.1,3.1,3,4,3,13,14,108,37,122,42,3,2,5,11,16,147,54,98,35
0,2.25,3.0,3.5,3,2,5,12,14,87,24,137,43,5,3,2,15,6,109,40,114,39
1,3.3,3.2,2.25,5,4,1,18,13,113,40,131,45,5,1,4,17,14,164,47,114,42
2,5.0,3.5,1.73,3,2,5,10,15,99,28,139,43,7,3,0,16,5,165,59,104,30
0,1.91,3.25,4.33,2,3,5,9,15,115,44,135,42,4,2,4,12,12,93,29,119,38
2,3.25,3.3,2.2,3,3,4,14,18,141,46,138,46,6,3,1,17,5,158,60,102,31
1,1.95,3.3,4.0,2,2,6,9,16,133,48,99,35,6,1,3,13,9,109,39,134,34
1,3.5,3.5,2.05,0,6,4,7,14,116,28,113,41,4,3,3,17,16,146,47,114,45
1,1.36,4.5,9.0,1,3,6,9,14,130,35,127,54,0,1,9,4,23,92,20,142,51
2,3.3,3.25,2.2,4,3,3,14,14,108,39,114,38,4,5,1,13,8,150,55,122,35
0,2.0,3.2,4.0,4,2,4,9,12,103,32,138,40,5,2,3,18,12,125,48,129,40
2,2.63,3.3,2.88,4,4,2,13,5,112,37,105,34,3,3,4,15,17,140,48,134,46
0,2.1,3.1,3.75,4,3,3,14,12,124,44,134,43,3,3,4,14,17,114,40,114,39
1,1.14,8.0,15.0,7,2,1,18,5,150,56,104,35,0,1,9,4,24,88,19,145,55
0,1.91,3.3,4.2,5,1,4,13,11,98,36,137,37,5,4,1,18,13,102,40,145,43
0,2.88,3.2,2.5,5,1,4,17,13,166,48,111,42,8,2,0,17,5,165,63,99,27
2,1.75,3.6,4.75,3,3,4,15,17,132,47,142,53,3,3,4,12,12,89,25,137,40
1,1.36,4.5,9.0,4,5,1,15,11,152,59,124,36,2,4,4,10,15,122,47,120,40
2,2.05,3.25,3.75,4,3,3,13,7,118,41,100,32,1,6,3,9,11,124,29,119,45
0,2.4,3.1,3.1,4,3,3,12,11,83,25,129,43,2,2,6,11,13,140,41,115,46
1,1.8,3.3,4.75,3,3,4,6,11,107,32,126,39,3,2,5,10,12,95,28,143,47
0,1.91,3.6,3.75,4,3,3,17,17,151,53,117,45,2,2,6,9,17,137,49,96,35
2,3.25,3.25,2.25,4,2,4,15,14,88,27,147,45,5,1,4,18,14,161,49,115,44
2,3.6,3.25,2.1,0,1,9,5,24,81,19,164,63,3,4,3,11,11,83,22,135,47
1,2.8,3.3,2.5,5,4,1,17,12,106,39,148,43,3,2,5,17,20,134,51,140,55
0,2.25,3.1,3.4,3,1,6,10,14,93,26,150,54,4,2,4,11,11,106,35,135,33
0,2.4,3.2,3.0,2,4,4,10,15,122,50,129,45,4,3,3,14,9,121,43,106,34
0,2.1,3.3,3.5,7,3,0,17,6,155,63,102,29,5,4,1,16,10,161,63,124,40
0,2.1,3.25,3.6,2,5,3,10,10,126,31,114,42,4,4,2,15,12,135,47,129,43
2,2.0,3.4,3.75,2,2,6,10,12,145,45,114,40,4,3,3,9,8,111,38,114,35
2,2.88,3.4,2.38,2,4,4,14,19,121,42,120,42,4,3,3,17,17,149,56,121,48
2,4.1,3.4,1.91,2,2,6,8,16,143,48,97,38,7,2,1,16,6,161,61,98,35
0,2.0,3.3,3.8,2,4,4,10,15,123,50,116,40,4,2,4,15,15,87,30,145,48
1,2.4,3.1,3.1,4,3,3,11,8,117,40,120,37,2,2,6,8,17,146,44,108,41
0,2.2,2.88,3.8,4,4,2,13,10,131,41,131,42,3,4,3,9,10,104,34,113,35
0,2.1,3.25,3.6,3,3,4,9,10,108,34,129,32,2,5,3,10,10,133,35,105,38
1,1.44,4.1,8.0,6,1,3,19,12,160,52,117,45,2,3,5,13,19,126,41,117,42
1,1.91,3.4,4.0,3,1,6,15,20,139,51,139,54,2,2,6,9,13,141,44,112,37
1,1.73,3.6,4.75,8,1,1,17,5,162,60,110,36,6,4,0,17,7,154,65,105,31
1,1.44,4.2,7.5,4,5,1,15,10,156,58,119,41,6,3,1,18,11,99,36,158,45
0,1.17,7.0,15.0,5,2,3,16,15,146,53,125,43,0,1,9,7,21,99,28,169,63
2,2.15,3.1,3.6,4,4,2,14,12,99,31,147,53,2,2,6,9,14,95,26,140,50
0,2.63,2.4,3.8,3,3,4,14,15,80,27,145,46,3,5,2,11,9,125,41,135,46
2,3.6,3.2,2.1,5,3,2,16,12,101,35,148,44,5,3,2,11,6,123,42,105,31
2,9.0,5.0,1.33,0,2,8,6,19,105,31,171,63,4,5,1,16,12,163,62,117,42
2,2.4,3.2,3.0,3,2,5,9,12,94,28,137,48,1,5,4,8,14,131,50,108,39
1,1.33,4.75,9.5,5,4,1,15,7,143,62,112,35,3,4,3,10,9,116,39,125,33
1,2.3,3.4,3.0,2,6,2,10,9,126,33,117,40,4,1,5,15,17,131,46,138,53
0,2.4,3.2,3.0,2,2,6,9,12,140,45,108,32,2,2,6,6,15,142,44,111,40
1,1.44,4.2,7.5,5,3,2,15,12,137,51,130,44,3,4,3,11,12,100,29,138,51
2,3.8,3.3,2.0,3,4,3,10,11,110,40,117,39,6,1,3,21,15,161,51,112,45
2,5.5,3.8,1.62,2,2,6,16,23,125,43,124,48,8,1,1,16,4,157,59,112,39
0,2.7,2.25,4.0,3,2,5,8,10,93,28,133,42,5,2,3,15,12,100,33,140,39
2,1.95,3.5,3.75,7,1,2,24,13,164,53,108,40,6,3,1,18,9,133,52,137,41
1,2.25,3.25,3.2,3,3,4,12,13,112,38,153,45,3,3,4,10,15,109,31,139,54
1,1.25,5.5,12.0,2,4,4,9,14,131,50,101,36,0,1,9,5,21,105,29,176,70
1,1.44,3.75,9.5,8,1,1,16,4,154,56,103,37,3,5,2,10,8,125,38,123,40
1,1.67,3.8,5.0,2,2,6,5,14,132,40,110,36,3,5,2,11,9,121,41,140,51
1,1.25,5.5,12.0,6,3,1,18,8,165,68,108,36,2,2,6,16,24,119,44,123,47
1,1.44,4.2,7.5,5,4,1,18,11,169,65,108,38,3,1,6,12,17,134,41,142,60
1,2.6,2.1,5.0,2,2,6,9,12,137,44,108,31,3,3,4,15,16,83,32,143,45
1,1.57,3.8,6.0,5,3,2,11,6,116,39,106,30,2,4,4,7,13,113,36,114,40
2,1.25,5.5,12.0,6,3,1,18,9,134,50,159,41,3,2,5,7,9,97,27,137,42
2,3.75,3.4,2.0,3,3,4,14,16,92,35,143,43,9,1,0,17,3,167,59,100,33
2,4.5,3.8,1.73,3,5,2,11,14,123,39,149,51,6,3,1,21,12,173,68,112,39
2,2.63,2.38,3.2,4,3,3,13,12,97,26,145,38,3,2,5,10,10,143,49,106,29
2,2.75,3.25,2.55,3,1,6,12,16,139,44,140,58,3,2,5,11,11,137,40,118,35
2,2.2,3.6,3.0,3,4,3,9,8,128,38,134,44,6,3,1,14,6,117,40,109,30
2,15.0,7.0,1.17,0,1,9,6,23,109,28,185,69,6,3,1,17,7,173,69,105,37
0,1.95,3.0,4.5,2,3,5,8,16,118,37,115,39,3,3,4,14,13,114,35,153,44
2,5.5,4.0,1.57,2,3,5,7,18,115,31,137,51,6,1,3,20,13,173,45,113,41
0,3.0,1.73,5.0,1,2,7,14,24,110,38,142,53,2,4,4,12,15,142,52,99,33
1,1.25,6.0,10.0,2,4,4,13,13,106,32,162,47,0,1,9,6,25,107,27,185,70
0,1.29,5.5,9.5,9,1,0,15,3,162,56,115,34,3,3,4,9,10,99,27,151,37
0,3.25,2.1,3.0,4,2,4,8,7,96,27,142,42,1,3,6,11,20,107,34,133,49
1,1.36,4.75,6.5,7,1,2,20,11,170,46,107,36,3,3,4,11,11,132,40,140,47
0,1.73,3.6,4.2,2,4,4,12,15,136,48,95,33,3,0,7,12,18,151,48,131,56
1,1.33,5.0,8.5,3,2,5,12,12,134,40,138,42,1,4,5,7,17,124,39,107,37
0,1.62,3.75,5.5,7,2,1,20,6,167,68,95,33,5,3,2,15,8,142,49,160,40
1,1.3,5.25,9.5,7,2,1,24,12,175,71,122,41,2,3,5,7,16,118,30,132,49
2,1.73,3.3,4.75,4,2,4,10,8,148,51,109,31,2,5,3,9,16,128,36,142,52
1,1.36,4.75,8.0,7,2,1,17,8,123,47,116,33,3,3,4,12,14,103,34,146,41
1,4.75,3.6,1.73,0,4,6,6,19,123,39,110,42,9,1,0,15,3,169,56,103,27
0,2.0,3.0,4.33,2,3,5,11,16,106,36,153,46,4,3,3,8,6,93,29,130,43
0,2.15,3.2,3.5,2,5,3,8,16,122,31,153,58,2,5,3,11,12,130,45,94,32
